axis_id,axis_name,item_id,item_name,max_points,full_credit_criteria,half_credit_criteria,zero_criteria,unconfirmed_handling
I,DX推進方針・推進体制,I-1,DX推進計画・方針の策定,6,独立したDX推進計画または推進方針を策定・公表,情報化計画等の関連計画に包含（3点）,公表を確認できず,0点・未確認フラグ
I,DX推進方針・推進体制,I-2,計画の現行性,4,調査時点が計画期間内,期間終了かつ改定公表あり（2点）,期間終了で改定未確認,0点・未確認フラグ
I,DX推進方針・推進体制,I-3,全庁的推進本部の設置,5,設置要綱等の規程を確認,計画本文等で言及のみ（2点）,確認できず,0点・未確認フラグ
I,DX推進方針・推進体制,I-4,ロードマップ・KPI・進捗公表,5,数値KPIと進捗実績の双方を公表,KPI設定のみ（3点）／ロードマップのみ（1点）,確認できず,0点・未確認フラグ
II,行政手続DX,II-1,電子申請基盤の運用,5,稼働中の電子申請窓口を確認,導入予定の公表のみ（2.5点）,確認できず,0点・未確認フラグ
II,行政手続DX,II-2,オンライン化対象手続の公表,5,対象手続一覧を公表,件数のみ公表（2.5点）,確認できず,0点・未確認フラグ
II,行政手続DX,II-3,書かない窓口・窓口DX,5,全庁または主要窓口で運用中,一部窓口・実証中（2.5点）,確認できず,0点・未確認フラグ
II,行政手続DX,II-4,キャッシュレス収納,5,窓口・税公金の双方で運用,いずれか一方（2.5点）,確認できず,0点・未確認フラグ
III,内部業務DX,III-1,電子決裁・文書管理,5,全庁導入かつ電子決裁率を公表,導入のみ確認（2.5点）,確認できず,0点・未確認フラグ
III,内部業務DX,III-2,RPA・AI-OCR,5,本格運用（対象業務・効果を公表）,導入・実証の確認のみ（2.5点）,確認できず,0点・未確認フラグ
III,内部業務DX,III-3,生成AIの業務利用,5,全庁利用かつ利用ガイドライン公表,試行・一部利用（2.5点）,確認できず,0点・未確認フラグ
III,内部業務DX,III-4,ノーコード・ローコード／情報共有基盤,5,全庁展開,一部導入（2.5点）,確認できず,0点・未確認フラグ
IV,BPR・業務改革,IV-1,BPR・業務改善の専管組織／推進体制,5,専管組織（課・室）あり,担当係・兼務体制（2.5点）,確認できず,0点・未確認フラグ
IV,BPR・業務改革,IV-2,BPR実施実績の公表,5,対象業務と削減時間等の実績を公表,実施の事実のみ（2.5点）,確認できず,0点・未確認フラグ
V,デジタル人材,V-1,育成方針・研修体系,5,育成方針・計画を策定し公表,研修実施の確認のみ（2.5点）,確認できず,0点・未確認フラグ
V,デジタル人材,V-2,外部専門人材の活用,5,CIO補佐官等を任用,アドバイザー派遣の活用のみ（2.5点）,確認できず,0点・未確認フラグ
V,デジタル人材,V-3,デジタル人材の採用・配置,5,ICT区分採用・専門職配置を確認,募集の公表のみ（2.5点）,確認できず,0点・未確認フラグ
VI,住民サービス・データ活用,VI-1,LINE等を活用した行政サービス,4,手続・通報等の双方向機能あり,情報発信のみ（2点）,確認できず,0点・未確認フラグ
VI,住民サービス・データ活用,VI-2,マイナンバーカード活用サービス,4,コンビニ交付＋独自活用,コンビニ交付のみ（2点）,確認できず,0点・未確認フラグ
VI,住民サービス・データ活用,VI-3,オープンデータ,4,推奨データセット公開かつ更新継続,ページ設置のみ（2点）,確認できず,0点・未確認フラグ
VI,住民サービス・データ活用,VI-4,公共施設予約等のオンライン化,3,オンライン予約・決済まで,予約のみ（1.5点）,確認できず,0点・未確認フラグ
