municipality,item_id,axis_name,item_name,scale,max_points,points,status,confidence,source_title,source_url,evidence,note
那覇市,I-1,DX推進方針・推進体制,DX推進計画・方針の策定,体制,6,6,満点,B,那覇市DX推進計画を策定しました,https://www.city.naha.okinawa.jp/admin/kaikaku/digital/naha_dxplan.html,市公式ページで独立した「那覇市DX推進計画」の策定・公表を確認（第1回DR）。第5回DRが総務省2024年度調査の全体方針欄でも策定を確認,独立したDX推進計画・推進方針を策定・公表しているため満点（6点）
那覇市,I-2,DX推進方針・推進体制,計画の現行性,体制,4,4,満点,A,那覇市DX推進計画を策定しました,https://www.city.naha.okinawa.jp/admin/kaikaku/digital/naha_dxplan.html,第5回DRが現行計画（計画期間内）であることを確認,調査時点（2026年9月15日）が計画期間内であるため満点（4点）
那覇市,I-3,DX推進方針・推進体制,全庁的推進本部の設置,体制,5,2,部分点,A,DXの推進 概要（那覇市デジタル化推進本部）,https://www.city.naha.okinawa.jp/admin/kaikaku/1008233/1004100/1004101.html,公式ページで「デジタル化推進本部（2021年4月設置）が全庁体制」を確認（第1回DR）,全庁的・横断的な推進体制の存在は確認できたが、設置要綱等の規程本文は未確認のため半点（2点）
那覇市,I-4,DX推進方針・推進体制,ロードマップ・KPI・進捗公表,体制,5,5,満点,A,那覇市DX推進計画 年次報告,https://www.city.naha.okinawa.jp/admin/kaikaku/digital/naha_dxplan.html,第5回DRが数値KPIと公開された進捗実績の双方を確認,ルーブリック満点条件「数値KPIと進捗実績の双方を公表」に該当（5点）。第5回DRの4点候補は採用しない
那覇市,II-1,行政手続DX,電子申請基盤の運用,実装成果,5,5,満点,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,汎用的電子申請システムについて「導入済み」と回答（第4回DR・自治体別Excel）,稼働中の電子申請窓口を確認したため満点（5点）
那覇市,II-2,行政手続DX,オンライン化対象手続の公表,実装成果,5,2.5,部分点,A,DXの推進 概要（情報政策課の所掌）,https://www.city.naha.okinawa.jp/admin/kaikaku/1008233/1004100/1004101.html,情報政策課が「標準化・共通化及び行政手続のオンライン化（31手続）」を所掌と明記,件数の確認にとどまり対象手続一覧は未確認のため半点（2.5点）
那覇市,II-3,行政手続DX,書かない窓口・窓口DX,実装成果,5,5,満点,A,那覇市DX推進計画 年次報告,https://www.city.naha.okinawa.jp/admin/kaikaku/digital/naha_dxplan.html,第5回DRが複数窓口での書かない窓口の運用を確認,主要窓口で運用中と判定し満点（5点）。第5回DRの6点候補は配点超過のため採用しない
那覇市,II-4,行政手続DX,キャッシュレス収納,実装成果,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,手数料等の電子納付を確認（第5回DR）。窓口キャッシュレスと税公金の双方の運用は未確認,ルーブリックの「いずれか一方」に該当（2.5点）
那覇市,III-1,内部業務DX,電子決裁・文書管理,実装成果,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,文書管理システムに電子決裁機能があり決裁率を把握していると回答（第4回DR・自治体別Excel）,導入の確認にとどまる。満点条件「全庁導入かつ電子決裁率を公表」は未確認のため半点（2.5点）。総務省調査の「決裁率を把握している」は決裁率の公表とは異なる
那覇市,III-2,内部業務DX,RPA・AI-OCR,実装成果,5,5,満点,A,令和7年度 AI・RPAを活用した業務の自動化推進事業／那覇市DX推進計画 年次報告,https://www.city.naha.okinawa.jp/admin/kaikaku/digital/2025_RPA.html,第5回DRが対象業務と実績・効果の公表を確認,本格運用（対象業務・効果を公表）に該当し満点（5点）。第5回DRの6点候補は配点超過のため採用しない
那覇市,III-3,内部業務DX,生成AIの業務利用,実装成果,5,2.5,部分点,A,那覇市DX推進計画 年次報告（生成AI利用ガイドライン）,https://www.city.naha.okinawa.jp/admin/kaikaku/digital/naha_dxplan.html,ガイドラインの下で生成AIを実証・一部業務で利用中（第5回DR）,全庁利用が未確認のため半点（2.5点）
那覇市,III-4,内部業務DX,ノーコード・ローコード／情報共有基盤,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
那覇市,IV-1,BPR・業務改革,BPR・業務改善の専管組織／推進体制,体制,5,5,満点,A,DXの推進 概要（企画調整課DX推進室の所掌）,https://www.city.naha.okinawa.jp/admin/kaikaku/1008233/1004100/1004101.html,DX推進室が「デジタル技術を活用した業務改革の推進」を所掌する室として設置,業務改革を所掌する専管の室が存在するため満点（5点）
那覇市,IV-2,BPR・業務改革,BPR実施実績の公表,実装成果,5,5,満点,A,那覇市DX推進計画 年次報告（業務改善実績）,https://www.city.naha.okinawa.jp/admin/kaikaku/digital/naha_dxplan.html,第5回DRが定量的な業務改善実績の公表を確認,対象業務と削減時間等の実績を公表しているため満点（5点）
那覇市,V-1,デジタル人材,育成方針・研修体系,体制,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査で職員のデジタル人材育成（研修）の実施を確認（第5回DRが10市で確認）,研修実施の確認にとどまり、育成方針・計画の策定公表は未確認のため半点（2.5点）
那覇市,V-2,デジタル人材,外部専門人材の活用,体制,5,5,満点,B,DXの推進 概要（デジタル民間専門人材）,https://www.city.naha.okinawa.jp/admin/kaikaku/1008233/1004100/1004101.html,「DX推進室にデジタル民間専門人材を受け入れています」と明記（人数記載なし）,外部専門人材の任用を確認したため満点（5点）
那覇市,V-3,デジタル人材,デジタル人材の採用・配置,体制,5,0,0点（確認済み）,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,第5回DRが那覇市についてデジタル職種・採用区分「なし」と自治体別に報告（V-3:0）,第5回DRまでに当該自治体を名指しで「無い／未実施」と報告している。公的調査における明示的な不存在回答であり、確認済み0点として扱う（未確認ではない）
那覇市,VI-1,住民サービス・データ活用,LINE等を活用した行政サービス,実装成果,4,4,満点,A,那覇市DX推進計画 年次報告（LINE予約・通知等）,https://www.city.naha.okinawa.jp/admin/kaikaku/digital/naha_dxplan.html,LINEによる予約・通知等の双方向サービスを確認（第5回DR）,手続・通報等の双方向機能を確認したため満点（4点）。第5回DRの5点候補は配点超過のため採用しない
那覇市,VI-2,住民サービス・データ活用,マイナンバーカード活用サービス,実装成果,4,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
那覇市,VI-3,住民サービス・データ活用,オープンデータ,実装成果,4,2,部分点,A,デジタル庁「地方公共団体オープンデータ取組済自治体一覧」,https://www.digital.go.jp/resources/open_data,デジタル庁「地方公共団体オープンデータ取組済自治体一覧」（2026-06-30）に掲載。オープンデータ公開ページ／カタログ掲載を11市すべてで確認（第5回DR）,推奨データセットの公開と更新継続を全市同条件で確認できないため半点（2点）
那覇市,VI-4,住民サービス・データ活用,公共施設予約等のオンライン化,実装成果,3,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
宜野湾市,I-1,DX推進方針・推進体制,DX推進計画・方針の策定,体制,6,6,満点,B,宜野湾市DX（デジタル・トランスフォーメーション）推進計画,https://www.city.ginowan.lg.jp/soshiki/kikaku/digitalsuishin/2/1/1/14257.html,基本計画・実施計画の二部構成で策定・公表（第1回DR）。第5回DRが2025年3月策定の現行計画であることを確認,独立したDX推進計画・推進方針を策定・公表しているため満点（6点）
宜野湾市,I-2,DX推進方針・推進体制,計画の現行性,体制,4,4,満点,A,宜野湾市DX推進計画（2025年3月策定）,https://www.city.ginowan.lg.jp/soshiki/kikaku/digitalsuishin/2/1/1/14257.html,第5回DRが2025年3月策定の現行計画であることを確認,調査時点（2026年9月15日）が計画期間内であるため満点（4点）
宜野湾市,I-3,DX推進方針・推進体制,全庁的推進本部の設置,体制,5,2,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（１）自治体DXの推進体制等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,総務省2024年度調査で「全庁的・横断的な推進体制あり」と回答（第5回DRが11市すべてで確認）,全庁的・横断的な推進体制の存在は確認できたが、設置要綱等の規程本文は未確認のため半点（2点）
宜野湾市,I-4,DX推進方針・推進体制,ロードマップ・KPI・進捗公表,体制,5,5,満点,A,宜野湾市DX推進計画／第8次行財政改革実施計画（進捗）,https://www.city.ginowan.lg.jp/material/files/group/7/dai8jigyouzaiseijissikeikaku.pdf,第5回DRが数値KPIと公開された進捗実績の双方を確認,ルーブリック満点条件に該当（5点）
宜野湾市,II-1,行政手続DX,電子申請基盤の運用,実装成果,5,5,満点,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,汎用的電子申請システムについて「導入済み」と回答（第4回DR・自治体別Excel）,稼働中の電子申請窓口を確認したため満点（5点）
宜野湾市,II-2,行政手続DX,オンライン化対象手続の公表,実装成果,5,0,未確認,不明,,,,確度A・Bの一次資料根拠を確認できず。非実施を意味しない
宜野湾市,II-3,行政手続DX,書かない窓口・窓口DX,実装成果,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（２）自治体フロントヤード改革取組状況等（市区町村）,https://www.soumu.go.jp/main_content/001048599.zip,第5回DRが2手続での書かない窓口の運用を確認,一部窓口での運用にとどまるため半点（2.5点）
宜野湾市,II-4,行政手続DX,キャッシュレス収納,実装成果,5,2.5,部分点,A,令和6年度 自治体DX・情報化推進概要 個別資料（行政サービスの向上・高度化（市区町村））,https://www.soumu.go.jp/main_content/001048599.zip,手数料等の電子納付を確認（第5回DR）。双方の運用は未確認,ルーブリックの「いずれか一方」に該当（2.5点）
